stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,intro.started,text.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,polygon.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
38,0.5,2.5,40.40559510001913,,,,,,,,,40.39087720005773,40.40559510001913,40.90582520002499,40.90582520002499,40.90582520002499,41.20571170002222,41.372799900127575,left,-2.5,1,1,0.4633454999420792,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
39,0.5,2.5,41.389082100009546,,,,,,,,,41.37295340001583,41.389082100009546,41.88903530011885,41.8726622001268,41.8726622001268,42.17225249996409,42.40634960005991,right,2.5,1,1,0.5188329999800771,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
40,0.5,2.0,42.42208490008488,,,,,,,,,42.40650960011408,42.42208490008488,42.922448500059545,42.90550999995321,42.90550999995321,43.20584730012342,43.38978360011242,left,-2.0,1,1,0.4810638998169452,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
41,0.5,2.0,43.4060794999823,,,,,,,,,43.38991850009188,43.4060794999823,43.905603900086135,43.905603900086135,43.905603900086135,44.20585130015388,44.39058890007436,right,2.0,1,1,0.4827024000696838,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
42,0.5,2.0,44.405724100070074,,,,,,,,,44.39080410008319,44.405724100070074,44.90593950008042,44.90593950008042,44.90593950008042,45.20548660005443,45.42302660015412,left,-2.0,1,1,0.5022332998923957,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
43,0.5,1.5,45.43880320014432,,,,,,,,,45.423276300076395,45.43880320014432,45.93923280015588,45.922650299966335,45.922650299966335,46.222448700107634,46.35689470008947,left,-1.5,1,1,0.43187359999865294,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
44,0.5,1.5,46.37241970002651,,,,,,,,,46.357125600101426,46.37241970002651,46.87284530000761,46.87284530000761,46.87284530000761,47.17285139998421,47.32435670006089,right,1.5,0,0,0.44954619999043643,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
45,0.5,2.0,47.339607700007036,,,,,,,,,47.324601100059226,47.339607700007036,47.83962780004367,47.83962780004367,47.83962780004367,48.13938629999757,48.50722360005602,left,-2.0,1,1,0.656055600149557,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
46,0.5,2.0,48.52319650002755,,,,,,,,,48.507433800026774,48.52319650002755,49.02318410016596,49.02318410016596,49.02318410016596,49.322941299993545,49.540135900024325,right,2.0,0,0,0.509560199920088,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
47,0.5,2.5,49.555892900098115,,,,,,,,,49.54035470006056,49.555892900098115,50.055825900053605,50.03915229998529,50.03915229998529,50.339044500142336,50.42371280002408,left,-2.5,1,1,0.3781174002215266,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
48,0.5,2.5,50.4391934000887,,,,,,,,,50.42392780003138,50.4391934000887,50.93932750006206,50.93932750006206,50.93932750006206,51.23932050005533,51.49028140003793,right,2.5,1,1,0.5362080000340939,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
49,0.5,2.5,51.50618250016123,,,,,,,,,51.49047890002839,51.50618250016123,52.006288100034,52.006288100034,52.006288100034,52.30595720000565,52.42490930017084,left,-2.5,1,1,0.41374260000884533,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
50,0.5,2.0,52.43930700002238,,,,,,,,,52.42516380012967,52.43930700002238,52.93963379994966,52.93963379994966,52.93963379994966,53.23958509997465,53.40748149994761,right,2.0,1,1,0.4615826001390815,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
51,0.5,2.0,53.42284430004656,,,,,,,,,53.40771030005999,53.42284430004656,53.92329469998367,53.92329469998367,53.92329469998367,54.22259950009175,54.52577219996601,right,2.0,1,1,0.5993209998123348,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
52,0.5,2.0,54.539279900025576,,,,,,,,,54.526063200086355,54.539279900025576,55.039487400092185,55.039487400092185,55.039487400092185,55.33925259998068,55.49077340005897,left,-2.0,1,1,0.4432643000036478,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
53,0.5,1.5,55.505862600170076,,,,,,,,,55.490977900102735,55.505862600170076,56.00638210005127,56.00638210005127,56.00638210005127,56.306494700023904,56.74114529998042,right,1.5,1,1,0.7310194000601768,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
54,0.5,1.5,56.755744399968535,,,,,,,,,56.74135720008053,56.755744399968535,57.25678619998507,57.25678619998507,57.25678619998507,57.5560135000851,57.72394679998979,left,-1.5,1,1,0.4549267999827862,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
55,0.5,1.5,57.73951880005188,,,,,,,,,57.7242407000158,57.73951880005188,58.24006720003672,58.24006720003672,58.24006720003672,58.53963080001995,58.843632500153035,left,-1.5,1,1,0.5928847999311984,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
56,0.5,1.0,58.855932200094685,,,,,,,,,58.84388660010882,58.855932200094685,59.35624370002188,59.35624370002188,59.35624370002188,59.65594090009108,59.92367920000106,right,1.0,1,1,0.5575288999825716,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
57,0.5,1.0,59.93926699995063,,,,,,,,,59.9238742000889,59.93926699995063,60.43966699996963,60.43966699996963,60.43966699996963,60.739455400034785,61.107356700114906,left,-1.0,1,1,0.6634601999539882,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
58,0.5,1.0,61.12265369994566,,,,,,,,,61.10756970010698,61.12265369994566,61.62279219995253,61.62279219995253,61.62279219995253,61.922848500078544,62.24137650011107,right,1.0,1,1,0.6030688998289406,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
59,0.5,1.0,62.25663010007702,,,,,,,,,62.24164260015823,62.25663010007702,62.7560330000706,62.7560330000706,62.7560330000706,63.056206500157714,63.323925600154325,right,1.0,1,1,0.5574035998433828,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
